,fips,county,zhvi_weighted,population_growth,population,All industry total_growth,unemployment_rate,unemployment_rate_growth,predicted_3yr_appreciation
422,13171,"Lamar, GA",143986.11589275303,1.0320818004760874,19077,1.1175527153371791,4.0,0.6060606060606061,1.385462
1784,47185,"White, TN",152454.02617946346,1.033329554472282,27345,1.097941965023147,3.7,0.74,1.3852582
460,13249,"Schley, GA",85954.46963035336,1.0162381596752368,5257,1.1662818662818664,3.9,0.609375,1.3847713
168,6039,"Madera, CA",268104.9173174688,1.021895866351425,157327,1.1550957864669795,7.0,0.7526881720430108,1.384498
456,13241,"Rabun, GA",213679.65750398376,1.0408138475554205,17137,1.220637613216955,3.6,0.6,1.3844657
507,16035,"Clearwater, ID",197084.31881989056,1.0121373251647208,8756,1.017688615357944,6.4,0.9014084507042256,1.3832824
278,12015,"Charlotte, FL",210779.04985038034,1.06325736895723,188910,1.2131746646046064,3.9,0.7222222222222222,1.3831887
241,8087,"Morgan, CO",224691.05729564556,1.0308166956275044,29068,1.1758360984247378,2.5,0.7575757575757576,1.382637
400,13127,"Glynn, GA",107395.75904197412,1.0141856621362917,85292,1.1667971316090462,3.5,0.6481481481481481,1.3825884
1313,37035,"Catawba, NC",173983.86189828187,1.0198340662712209,159551,1.1114058407717824,3.5,0.7446808510638298,1.3825419
350,13025,"Brantley, GA",102039.27993418089,1.0376866684767851,19109,1.20591758145046,4.2,0.6176470588235294,1.3819852
994,26139,"Ottawa, MI",231941.8391808215,1.028613523573201,291830,1.1136995910232623,2.7,0.7941176470588236,1.3815331
1277,36085,"Richmond, NY",566943.6083054211,1.0044363344865412,476143,1.2324393062331649,3.8,0.7307692307692307,1.3814689
1961,53025,"Grant, WA",199174.28751171194,1.0372740684136232,97733,1.0471303461250163,6.8,0.9714285714285714,1.381345
312,12085,"Martin, FL",311516.8301994279,1.0168956260855837,161000,1.1615622303283433,3.3,0.6734693877551019,1.3804176
1339,37089,"Henderson, NC",267457.76011638663,1.0337550513721243,117417,1.1058118976838391,3.2,0.7441860465116279,1.3803985
1855,48425,"Somervell, TX",206929.86293527024,1.052704417022258,9128,0.9470021887090218,3.6,0.75,1.3802228
290,12041,"Gilchrist, FL",179077.96601269214,1.0544773578481443,18582,1.0950145512511151,3.6,0.72,1.3801501
363,13053,"Chattahoochee, GA",78062.0,1.085597690852991,10907,0.9359084373326606,4.6,0.5476190476190476,1.3800192
36,1081,"Lee, AL",176975.28102828082,1.0337630679533574,164542,1.1015543755118036,2.8,0.5384615384615384,1.3796871
512,16061,"Lewis, ID",183326.0,0.997919916796672,3838,1.1851454100262038,5.2,0.8387096774193549,1.3792799
987,26123,"Newaygo, MI",130852.72601208676,1.0244504402752506,48980,1.232548282920101,4.1,0.8367346938775508,1.3790092
413,13153,"Houston, GA",132062.04725171305,1.04116157285882,157863,1.165715304916899,3.4,0.6296296296296295,1.3789458
1786,47189,"Wilson, TN",286477.86790598783,1.0918003834135883,144657,1.186142690341925,2.7,0.6923076923076924,1.3785768
1417,39049,"Franklin, OH",214378.91747040112,1.0331954960963552,1316756,1.1001832517560948,3.6,0.878048780487805,1.3785051
621,18119,"Owen, IN",168955.3589069602,0.9952627045650302,20799,1.1784029122519215,3.9,0.7090909090909091,1.3784359
1305,37019,"Brunswick, NC",150876.17202647112,1.1307638712946542,142820,1.171815500316764,5.1,0.7846153846153846,1.3766801
73,4021,"Pinal, AZ",241053.9122724368,1.1092923419136946,462789,1.1669768812763288,5.0,0.8928571428571429,1.3765419
1691,45091,"York, SC",198972.59500107926,1.0896318242808278,280979,1.208777125660936,2.7,0.6000000000000001,1.3752496
629,18145,"Shelby, IN",189809.79643043128,1.0113048000180878,44729,1.1066647366058984,2.8,0.7179487179487181,1.3750443
1353,37119,"Mecklenburg, NC",280434.85865445546,1.0505771117635427,1110356,1.1571801732520173,3.6,0.7659574468085106,1.3747228
1847,48363,"Palo Pinto, TX",282381.0,1.0378311111111111,29189,1.1404257741347903,3.1,0.5636363636363636,1.374457
1568,41033,"Josephine, OR",304340.62688153196,1.0231918974550898,87487,1.2260674272900831,4.9,0.765625,1.3736777
1745,47107,"McMinn, TN",135654.50264878027,1.0207590132827324,53794,1.0894347552563974,3.8,0.7037037037037036,1.3736131
428,13183,"Long, GA",139750.78496726218,1.0646091878946222,19559,1.0306037104622872,3.8,0.6909090909090909,1.373399
1778,47173,"Union, TN",163440.48519923026,1.0391799781466258,19972,1.1454026550782288,4.0,0.6896551724137931,1.3732138
1749,47115,"Marion, TN",207867.80871839586,1.0184617552760455,28907,1.1618109196934665,4.2,0.6666666666666667,1.3731349
1032,27059,"Isanti, MN",233522.0578418651,1.046882252823766,40596,1.076576215750142,3.9,0.8297872340425532,1.372688
381,13089,"DeKalb, GA",282987.5453509045,1.016731342444182,759297,1.1331325382469393,3.6,0.6545454545454545,1.372595
